_1,_2
Would a Trump Presidency Mean Economic Disaster? Let’s Take a Look - The New York Times,1
"U.S. Senate, Orlando, Donald Trump: Your Tuesday Evening Briefing - The New York Times",1
"In ‘Brexit’ Vote, David Cameron Faces Problem of His Own Making - The New York Times",0
How to Survive Being an Airbnb Host - The New York Times,0
"Falluja Restaurant Is Reborn in Baghdad, Offering Nostalgia With Its Kebab - The New York Times",0
"What J. Dennis Hastert, Ex-House Speaker, Will Face in Prison - The New York Times",0
Rift Between Officers and Residents as Killings Persist in South Bronx - The New York Times,0
"Tyrus Wong, ‘Bambi’ Artist Thwarted by Racial Bias, Dies at 106 - The New York Times",0
"Among Deaths in 2016, a Heavy Toll in Pop Music - The New York Times",0
Kim Jong-un Says North Korea Is Preparing to Test Long-Range Missile - The New York Times,0
"Sick With a Cold, Queen Elizabeth Misses New Year’s Service - The New York Times",0
Taiwan’s President Accuses China of Renewed Intimidation - The New York Times,1
"After ‘The Biggest Loser,’ Their Bodies Fought to Regain Weight - The New York Times",0
Weak Federal Powers Could Limit Trump’s Climate-Policy Rollback - The New York Times,0
Can Carbon Capture Technology Prosper Under Trump? - The New York Times,1
"Mar-a-Lago, the Future Winter White House and Home of the Calmer Trump - The New York Times",1
How to form healthy habits in your 20s - The New York Times,0
Turning Your Vacation Photos Into Works of Art - The New York Times,0
"As Second Avenue Subway Opens, a Train Delay Ends in (Happy) Tears - The New York Times",0
Dylann Roof Himself Rejects Best Defense Against Execution - The New York Times,0
"Modi’s Cash Ban Brings Pain, but Corruption-Weary India Grits Its Teeth - The New York Times",0
Suicide Bombing in Baghdad Kills at Least 36 - The New York Times,0
Fecal Pollution Taints Water at Melbourne’s Beaches After Storm - The New York Times,0
"N.F.L. Playoffs: Schedule, Matchups and Odds - The New York Times",0
Mariah Carey’s Manager Blames Producers for New Year’s Eve Nightmare - The New York Times,0
"Damaged by War, Syria’s Cultural Sites Rise Anew in France - The New York Times",0
George Michael’s Freedom Video: An Oral History - The New York Times,0
"With New Congress Poised to Convene, Obama’s Policies Are in Peril - The New York Times",0
Republicans Stonewalled Obama. Now the Ball Is in Their Court. - The New York Times,1
"Istanbul, Donald Trump, Benjamin Netanyahu: Your Morning Briefing - The New York Times",1
Inside Trump Defense Secretary Pick’s Efforts to Halt Torture - The New York Times,1
ISIS Claims Responsibility for Istanbul Nightclub Attack - The New York Times,0
The Afghan War and the Evolution of Obama - The New York Times,1
Tips for Your Post-Holiday Clutter Purge - The New York Times,0
Benjamin Netanyahu Questioned in Israel Graft Inquiry - The New York Times,0
"France Lets Workers Turn Off, Tune Out and Live Life - The New York Times",0
"Airline Pilot, Believed to Be Drunk, Is Pulled From Cockpit in Canada - The New York Times",0
Riot by Drug Gangs in Brazil Prison Leaves at Least 56 Dead - The New York Times,0
SpaceX Says It’s Ready to Launch Rockets Again - The New York Times,0
A ‘World Unto Itself’ in New York Area Yeshivas: Floor Hockey - The New York Times,0
Inside Jonathan Lethem’s Oddball Trove - The New York Times,0
An Immigrant’s Instinct to Aid Others Collides With Financial Need - The New York Times,0
"House Republicans, Under Fire, Back Down on Gutting Ethics Office - The New York Times",0
"Republican Party, Megyn Kelly, Titanic: Your Wednesday Briefing - The New York Times",0
Turmoil Overshadows First Day of Republican-Controlled Congress - The New York Times,0
"With Choice of Trade Negotiator, Trump Prepares to Confront Mexico and China - The New York Times",1
Trump Appears to Side With Assange Over Intelligence Agencies’ Conclusions - The New York Times,1
California Hires Eric Holder as Legal Bulwark Against Donald Trump - The New York Times,1
Israeli Soldier Who Shot Wounded Palestinian Assailant Is Convicted - The New York Times,0
Work. Walk 5 Minutes. Work. - The New York Times,0
It’s Time to Ignore Advice About Which Stocks to Buy in 2017 - The New York Times,0
"Megyn Kelly’s Jump to NBC From Fox News Will Test Her, and the Networks - The New York Times",0
Anchor Becomes the News as Megyn Kelly Leaves Fox News for NBC - The New York Times,0
President Xi’s Great Chinese Soccer Dream - The New York Times,1
Tech Giants Seem Invincible. That Worries Lawmakers. - The New York Times,0
"Chinese City Official Shoots 2 Others and Kills Himself, State Media Says - The New York Times",1
"Drop in Gang Violence Drove New York City Shootings Below 1,000 in 2016 - The New York Times",0
How ‘Elites’ Became One of the Nastiest Epithets in American Politics - The New York Times,0
"10 Engaging Proposals, From the Rooftop to the Subway - The New York Times",0
"For a Mother With Big Dreams, Two Forbidden Words: ‘I Can’t’ - The New York Times",0
Senate Republicans Open Fight Over Obama Health Law - The New York Times,1
The Parliamentary Tactic That Could Obliterate Obamacare - The New York Times,0
"In Republicans’ Ethics Office Gambit, a Spectacle of Tweets and Retreats - The New York Times",0
Ivanka Trump’s New Washington Home Once Belonged to a Putin Foe - The New York Times,0
Donald Trump Nominates Wall Street Lawyer to Head S.E.C. - The New York Times,1
"Dylann Roof, Addressing Court, Offers No Apology or Explanation for Massacre - The New York Times",0
"In Turkey, U.S. Hand Is Seen in Nearly Every Crisis - The New York Times",0
A New Casualty of Syria’s War: Drinking Water in Damascus - The New York Times,0
My Canada - The New York Times,0
How We Put Together Our 52 Places to Go List - The New York Times,0
Places to Put Your Hands Together - The New York Times,0
"Getting Around by Rail, Sail or Foot - The New York Times",0
5 Must-See Shows if You’re in New York This Month - The New York Times,0
Remaking Kennedy Airport Is Governor’s Next Big Plan - The New York Times,0
Cyberwar for Sale - The New York Times,0
 Aroche found the name of a Puebla government employee who seemed to be working within the spying operation. “Before,1
Why Men Don’t Want the Jobs Done Mostly by Women - The New York Times,1
Apple Removes New York Times Apps From Its Store in China - The New York Times,0
"Fed Officials See Faster Economic Growth Under Trump, but No Boom - The New York Times",0
"Rockefeller Foundation Picks Rajiv J. Shah, a Trustee, as President - The New York Times",1
"Philippines Jailbreak Frees More Than 150 Inmates, Prompting Manhunt - The New York Times",0
"Enough With the Tweets, China’s State Media Tells Trump - The New York Times",1
Coming to Carnival Cruises: A Wearable Medallion That Records Your Every Whim - The New York Times,0
2 Credit-Reporting Agencies Must Pay $23 Million for Deceptive Practices - The New York Times,0
"Coal Fire, Not Just Iceberg, Doomed the Titanic, a Journalist Claims - The New York Times",0
Chase Sapphire Reserve Card’s Huge Bonus Will Be Slashed - The New York Times,0
Broadway Breaks Multiple Records Through New Year’s Weekend - The New York Times,0
"Italian Inmates Sip, Smell and Taste Their Way to Rehabilitation - The New York Times",0
"The 2017 Class Divide, as Dissected by a New ‘One Day at a Time’ - The New York Times",0
Michael Eric Dyson Believes in Individual Reparations - The New York Times,0
For Sale: Condé Nast Treasures - The New York Times,0
"Countering Trump, Bipartisan Voices Strongly Affirm Findings on Russian Hacking - The New York Times",0
"Dan Coats, the ‘Mister Rogers’ Senator Poised to Be Intelligence Chief - The New York Times",0
The Perfect Weapon: How Russian Cyberpower Invaded the U.S. - The New York Times,0
 after all,0
Trump Said ‘Torture Works.’ An Echo Is Feared Worldwide. - The New York Times,1
Republicans’ 4-Step Plan to Repeal the Affordable Care Act - The New York Times,0
"In Break With Precedent, Obama Envoys Are Denied Extensions Past Inauguration Day - The New York Times",1
