[topic],[terms],[termWeights]
1,"[""women"",""black"",""people"",""university"",""students""]","[0.041465971407057815,0.028076100308115116,0.019495938773883184,0.019332477788144193,0.014613401304201246]"
2,"[""clinton"",""department"",""information"",""investigation"",""email""]","[0.04507359537995434,0.023125760265233313,0.02247573191428787,0.021576005565215592,0.02074787855046926]"
3,"[""said"",""attack"",""north"",""military"",""state""]","[0.022735132299047642,0.022658838356192645,0.021089526839779354,0.020099106012764562,0.016324744248559016]"
4,"[""trump"",""clinton"",""campaign"",""hillary"",""republican""]","[0.11340735173425345,0.07868261866525107,0.03886009620106888,0.028718068137420515,0.026127071906481593]"
5,"[""court"",""law"",""department"",""case"",""justice""]","[0.027472838706038342,0.020370167525533372,0.020269945780595915,0.019042859782939472,0.016580615560624998]"
6,"[""bill"",""health"",""care"",""said"",""plan""]","[0.024221213630268256,0.020638689397068866,0.020206512076711213,0.019366468454951245,0.016093484450605728]"
7,"[""twitter"",""2016"",""news"",""breitbart"",""facebook""]","[0.05098790650808224,0.04295693066507501,0.03823590641510471,0.028853171978922426,0.018549247031479966]"
8,"[""party"",""immigration"",""says"",""democrats"",""ryan""]","[0.03130513733816815,0.02054867280851661,0.01934156722479308,0.019045308521487104,0.015464808124547995]"
9,"[""security"",""russia"",""united"",""administration"",""obama""]","[0.03252605543146999,0.03132129447245979,0.029279051225484392,0.025379857485158138,0.024920789816498295]"
10,"[""united"",""country"",""government"",""states"",""countries""]","[0.021187562155479397,0.01894917633747968,0.016769090275282804,0.015997892186255917,0.015213907333397702]"
11,"[""clinton"",""department"",""information"",""investigation"",""email""]","[0.04507359537995434,0.023125760265233313,0.02247573191428787,0.021576005565215592,0.02074787855046926]"
12,"[""trump"",""campaign"",""republican"",""party"",""election""]","[0.12053064086525346,0.036160344697555566,0.030182585869669116,0.027982926212232976,0.02295130964453979]"
13,"[""clinton"",""hillary"",""think"",""know"",""foundation""]","[0.0693420034022163,0.0251237360425238,0.01906497872311477,0.015417668416270418,0.00993213175591151]"
14,"[""city"",""texas"",""said"",""immigration"",""border""]","[0.03065590624309614,0.01945067131725465,0.019088888875240833,0.016743051572813358,0.016124535192535337]"
15,"[""trump"",""news"",""twitter"",""2016"",""breitbart""]","[0.06179073265580588,0.04901065360820201,0.04467151313586958,0.04289902088524117,0.027995446338591565]"
16,"[""house"",""bill"",""care"",""americans"",""health""]","[0.022454032348537406,0.021418971277481377,0.017711580497671554,0.016626165133795227,0.014184569429192087]"
17,"[""texas"",""border"",""county"",""reported"",""illegal""]","[0.027856770792689396,0.01636774212592115,0.016155344895134347,0.015459274625132509,0.015357900506459046]"
18,"[""trump"",""president"",""house"",""said"",""russia""]","[0.04744200328805096,0.03844309259201443,0.026806416967387565,0.023871873060968177,0.02232286407035651]"
19,"[""attack"",""state"",""war"",""islamic"",""isis""]","[0.01674248672422854,0.01614137590488592,0.015130545875112958,0.014718545313146056,0.014661981304158037]"
20,"[""2016"",""obama"",""twitter"",""says"",""march""]","[0.06846610950354425,0.034395464881323966,0.03079931047032829,0.028273721212427824,0.026155417034208768]"
